학교명,지역,주소,우편번호
이화여자대학교,서울,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교) ",03760
인제대학교,경남,"경상남도 김해시 인제로 197 (어방동, 인제대학교) ",50834
인제대학교,부산,"부산광역시 부산진구 복지로 75 (개금동, 백병원) ",47392
인천가톨릭대학교,인천,인천광역시 연수구 송도문화로120번길 20 (송도동) 인천가톨릭대학교,21987
인천가톨릭대학교,인천,"인천광역시 강화군 양도면 고려왕릉로 53-1 (도장리, 인천가톨릭대학교) ",23058
인천대학교,인천,"인천광역시 연수구 아카데미로 119 (송도동, 인천대학교) ",22012
인하대학교,인천,"인천광역시 남구 인하로 100 (용현동, 인하대학교) ",22212
장로회신학대학교,서울,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교) ",04965
전남대학교,광주,"광주광역시 북구 용봉로 45 (용봉동, 전남대학교) ",61186
전남대학교,전남,"전라남도 여수시 대학로 50 (둔덕동, 전남대학교여수캠퍼스) ",59626
전북대학교,전북,"전라북도 전주시 덕진구 백제대로 567 (금암동, 전북대학교) ",54896
전주대학교,전북,"전라북도 전주시 완산구 천잠로 303 (효자동2가, 전주대학교) ",55069
제주국제대학교,제주,제주특별자치도 제주시 516로 2870 (영평동) ,63309
제주대학교,제주,"제주특별자치도 제주시 제주대학로 102 (아라일동, 제주대학교) ",63243
조선대학교,광주,"광주광역시 동구 필문대로 309 (서석동, 조선대학교) ",61452
중부대학교,충남,"충청남도 금산군 추부면 대학로 201 (마전리, 중부대학교) ",32713
중앙대학교,경기,"경기도 안성시 대덕면 서동대로 4726 (내리, 중앙대학교) ",17546
중앙대학교,서울,"서울특별시 동작구 흑석로 84 (흑석동, 중앙대학교) ",06974
중앙승가대학교,경기,"경기도 김포시 승가로 147 (풍무동, 중앙승가대학) ",10118
중원대학교,충북,"충청북도 괴산군 괴산읍 문무로 85 (동부리, 중원대학교) ",28024
차의과학대학교,경기,"경기도 포천시 해룡로 120 (동교동, 포천중문의과대학) 차의과학대학교",11160
창신대학교,경남,"경상남도 창원시 마산회원구 팔용로 262 (합성동, 창신대학) ",51352
창원대학교,경남,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교) ",51140
청주대학교,충북,"충청북도 청주시 청원구 대성로 298 (내덕동, 청주대학교) ",28503
초당대학교,전남,"전라남도 무안군 무안읍 무안로 380 (성남리, 초당대학교) ",58530
총신대학교,서울,"서울특별시 동작구 사당로 143 (사당동, 총신대학교) ",06988
추계예술대학교,서울,"서울특별시 서대문구 북아현로11가길 7 (북아현동, 추계예술대학교) ",03762
충남대학교,대전,"대전광역시 유성구 대학로 99 (궁동, 충남대학교) ",34134
충북대학교,충북,"충청북도 청주시 서원구 충대로 1 (개신동, 충북대학교) ",28644
칼빈대학교,경기,"경기도 용인시 기흥구 마북로 184 (마북동, 칼빈대학교) ",16911
케이씨대학교,서울,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교) ",07661
평택대학교,경기,"경기도 평택시 서동대로 3825 (용이동, 평택대학교) ",17869
포항공과대학교,경북,"경상북도 포항시 남구 청암로 77 (지곡동, 포항공과대학교) ",37673
한경대학교,경기,"경기도 안성시 중앙로 327 (석정동, 한경대학교) ",17579
한국과학기술원,대전,"대전광역시 유성구 대학로 291 (구성동, 한국과학기술원) ",34141
한국교원대학교,충북,"충청북도 청주시 흥덕구 강내면 태성탑연로 250 (다락리, 한국교원대학교) ",28173
한국교통대학교,충북,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교) ",27469
한국국제대학교,경남,"경상남도 진주시 문산읍 동부로 965 (상문리, 한국국제대학교) ",52833
한국기술교육대학교,충남,"충청남도 천안시 동남구 병천면 충절로 1600 (가전리, 한국기술교육대학교) ",31253
한국산업기술대학교,경기,"경기도 시흥시 산기대학로 237 (정왕동, 한국산업기술대학교) ",15073
한국성서대학교,서울,"서울특별시 노원구 동일로214길 32 (상계동, 한국성서대학교) ",01757
한국외국어대학교,서울,"서울특별시 동대문구 이문로 107 (이문동, 한국외국어대학교) ",02450
한국전통문화대학교,충남,"충청남도 부여군 규암면 백제문로 367 (합정리, 한국전통문화대학교) ",33115
한국체육대학교,서울,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교) ",05541
한국침례신학대학교,대전,"대전광역시 유성구 북유성대로 190 (하기동, 침례신학대학) ",34098
한국항공대학교,경기,"경기도 고양시 덕양구 항공대학로 76 (화전동, 한국항공대학교) ",10540
한국해양대학교,부산,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교) ",49112
한남대학교,대전,"대전광역시 대덕구 한남로 70 (오정동, 한남대학교) ",34430
한동대학교,경북,"경상북도 포항시 북구 흥해읍 한동로 558 (남송리, 한동대학교) ",37554
한라대학교,강원,"강원도 원주시 흥업면 한라대길 28 (흥업리, 한라대학교) ",26404
한려대학교,전남,"전라남도 광양시 광양읍 한려대길 94-13 (덕례리, 한려대학교) ",57764
한림대학교,강원,"강원도 춘천시 한림대학길 1 (옥천동, 한림대학교) ",24252
한밭대학교,대전,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교) ",34158
한서대학교,충남,"충청남도 서산시 해미면 한서1로 46 (대곡리, 한서대학교) ",31962
한성대학교,서울,"서울특별시 성북구 삼선교로16길 116 (삼선동2가, 한성대학교) ",02876
한세대학교,경기,경기도 군포시 한세로 30 (당정동) ,15852
한신대학교,경기,"경기도 오산시 한신대길 137 (양산동, 한신대학교) ",18101
한양대학교,서울,"서울특별시 성동구 왕십리로 222 (사근동, 한양대학교) ",04763
한양대학교(ERICA),경기,"경기도 안산시 상록구 한양대학로 55 (사동, 한양대학교) ",15588
한일장신대학교,전북,"전라북도 완주군 상관면 왜목로 726-15 (신리, 한일장신대학교) ",55359
협성대학교,경기,"경기도 화성시 봉담읍 최루백로 72 (상리, 협성대학교) ",18330
호남대학교,광주,"광주광역시 광산구 호남대길 120 (서봉동, 호남대학본부) ",62399
호남신학대학교,광주,"광주광역시 남구 제중로 77 (양림동, 호남신학대학교) ",61642
호서대학교,충남,"충청남도 아산시 배방읍 호서로79번길 20 (세출리, 호서대학교) ",31499
홍익대학교,서울,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교) ",04066
홍익대학교,세종,"세종특별자치시 조치원읍 세종로 2639 (신안리, 홍익대학교세종캠퍼스) ",30016
